Наименование исследование.,Наименование тест.,БМ,Единицы измерения,Референсные значения НИЖНИЙ предел,Референсные значения ВЕРХНИЙ предел,Референсные группы,Критическое значение ниже нормы,Критическое значение выше нормы,"Метод исследования 
(указывается при необходимости)
",Раздел,Подраздел,Синонимы русский,Синонимы английский
"Тестостерон, свободный","Тестостерон, свободный",Сыв-ка крови,пг/мл,3.84,34.17,муж.,,,ИФА,,,"Свободный тестостерон,
Несвязанный тестостерон,
Тестостерон свободная фракция,
fT,
Free Testosterone,
Активная фракция тестостерона,
Тестостерон не связанный с ГСПГ","Free testosterone,
Unbound testosterone,
Testosterone free fraction,
fT,
Bioavailable testosterone fraction,
Non-SHBG-bound testosterone"
,,,пг/мл,0.01,7.01,жен.,,,,,,,
"Глобулин, связывающий половые гормоны (SHBG)","Глобулин, связывающий половые гормоны (SHBG)",Сыв-ка крови,нмоль/л,17.1,77.6,муж.,,,ИХЛА,,,"ТЭСГ, ГСПГ, Глобулин, связывающий тестостерон и эстрадиол.","SHBG, Sex Hormone-Binding Globulin, Testosterone-Estradiol-Binding Globulin (TeBG)."
,,,нмоль/л,34.3,147.7,пременопауза,,,,,,,
,,,нмоль/л,26.4,118.0,менопауза,,,,,,,
Индекс свободных андрогенов,Индекс свободных андрогенов,Сыв-ка крови,%,24.3,110.2,муж.,,,расчетный показатель,,,"ИСА, Расчетный свободный тестостерон.","FAI, Free Androgen Index, Testosterone/ SHBG Ratio."
,,,%,0.35,10.93,20-47 лет жен.,,,,,,,
,,,%,0.23,6.8,48 - 90 лет жен.,,,,,,,
Дигидротестостерон,Дигидротестостерон,Сыв-ка крови,пг/мл,250.0,999.0,муж.,,,ИФА,,,"5-альфа-дигидротестостерон, Активный метаболит тестостерона.","DHT, Dihydrotestosterone, 5α-Dihydrotestosterone."
,,,пг/мл,24,368,жен. пременопауза,,,,,,,
,,,пг/мл,10,181,жен. постменопауза,,,,,,,
Хорионический гонадотропин человека (ХГЧ),Хорионический гонадотропин человека (ХГЧ),Сыв-ка крови,мМЕ/мл,0,5,муж.,,,ИХЛА,,,"Бета-ХГЧ, Гормон беременности, Хорионический гонадотропин.","hCG, Human Chorionic Gonadotropin, Beta-hCG, Pregnancy Hormone."
,,,мМЕ/мл,0,5,жен. не беременные,,,,,,,
,,,мМЕ/мл,10,50,жен. беременные 1-3 неделя,,,,,,,
,,,мМЕ/мл,40,6000,жен. беременные 4 неделя,,,,,,,
,,,мМЕ/мл,1000,20700,жен. беременные 5 неделя,,,,,,,
,,,мМЕ/мл,2200,74200,жен. беременные 6 неделя,,,,,,,
,,,мМЕ/мл,6000,130000,жен. беременные 7 неделя,,,,,,,
,,,мМЕ/мл,12900,190000,жен. беременные 8 неделя,,,,,,,
,,,мМЕ/мл,18500,205000,жен. беременные 9 неделя,,,,,,,
,,,мМЕ/мл,18000,290000,жен. беременные 10 неделя,,,,,,,
,,,мМЕ/мл,16500,180000,жен. беременные 11 неделя,,,,,,,
,,,мМЕ/мл,14500,125000,жен. беременные 12 неделя,,,,,,,
,,,мМЕ/мл,12500,95000,жен. беременные 13 неделя,,,,,,,
,,,мМЕ/мл,10500,80000,жен. беременные 14 неделя,,,,,,,
,,,мМЕ/мл,9000,70000,жен. беременные 15 неделя,,,,,,,
,,,мМЕ/мл,7000,64000,жен. беременные 16 неделя,,,,,,,
,,,мМЕ/мл,5500,56000,жен. беременные 17 неделя,,,,,,,
,,,мМЕ/мл,4500,50000,жен. беременные 18 неделя,,,,,,,
,,,мМЕ/мл,3300,40000,жен. беременные 19 неделя,,,,,,,
,,,мМЕ/мл,2500,32000,жен. беременные 20 неделя,,,,,,,
,,,мМЕ/мл,1800,25000,жен. беременные 21 - 26 неделя,,,,,,,
,,,мМЕ/мл,1800,59000,жен. беременные 27 - 43 неделя,,,,,,,
свободный бетта-субъединица хорионического гонадотропина человека (Свободный бетта-ХГЧ),свободный бетта-субъединица хорионического гонадотропина человека (Свободный бетта-ХГЧ),Сыв-ка крови,мЕ/мл,0,2,муж.,,,ИХЛА,,,"Свободный бетта-ХГЧ, Свободная бета-субъединица ХГЧ, Свободный β-ХГЧ, Свободная β-субъединица хорионического гонадотропина","Free beta-hCG, Free β-hCG, Free beta-subunit of human chorionic gonadotropin, Unconjugated beta-hCG, F-β-hCG, hCG free beta"
,,,мЕ/мл,0,2,жен. не беременные,,,,,,,
,,,мЕ/мл,23.65,162.5,жен. беременные 8 неделя,,,,,,,
,,,мЕ/мл,23.58,193.13,жен. беременные 9 неделя,,,,,,,
,,,мЕ/мл,25.76,181.65,жен. беременные 10 неделя,,,,,,,
,,,мЕ/мл,17.4,130.38,жен. беременные 11 неделя,,,,,,,
,,,мЕ/мл,13.43,128.5,жен. беременные 12 неделя,,,,,,,
,,,мЕ/мл,14.21,144.7,жен. беременные 13 неделя,,,,,,,
,,,мЕ/мл,8.91,79.44,жен. беременные 14 неделя,,,,,,,
,,,мЕ/мл,5.78,62.07,жен. беременные 15 неделя,,,,,,,
,,,мЕ/мл,4.67,50.05,жен. беременные 16 неделя,,,,,,,
,,,мЕ/мл,3.33,42.81,жен. беременные 17 неделя,,,,,,,
,,,мЕ/мл,3.84,33.33,жен. беременные 18 неделя,,,,,,,
Эстриол свободный (Е3),Эстриол свободный (Е3),Сыв-ка крови,нмоль/л,0.49,2.12,жен. беременные 14 неделя,,,ИХЛА,,,"Свободный эстриол,
Неконъюгированный эстриол,
Е3 свободный,
Эстриол (несвязанная фракция),
uE3 (unconjugated estriol),
Эстриол в сыворотке,
Маркер пренатального скрининга","Free estriol,
Unconjugated estriol,
uE3,
Estriol (free fraction),
Serum estriol,
Prenatal screening marker,
E3 (free)"
,,,нмоль/л,0.91,2.98,жен. беременные 15 неделя,,,,,,,
,,,нмоль/л,1.33,4.01,жен. беременные 16 неделя,,,,,,,
,,,нмоль/л,1.81,5.36,жен. беременные 17 неделя,,,,,,,
,,,нмоль/л,2.43,7.46,жен. беременные 18 неделя,,,,,,,
,,,нмоль/л,3.47,10.46,жен. беременные 19 неделя,,,,,,,
Ассоциированный с беременностью плазменный белок А (РАРР-А),Ассоциированный с беременностью плазменный белок А (РАРР-А),Сыв-ка крови,мМЕ/мл,0.17,1.54,жен. беременные 8 неделя,,,ИХЛА,,,"ПАПП-А,
Плазменный белок А,
ассоциированный с беременностью,
Ассоциированный с беременностью плазменный белок А,
PAPP-A,
Белок PAPP-A,
ПАПП-А в сыворотке,
Маркер пренатального скрининга","PAPP-A,
Pregnancy-associated plasma protein A,
PAPP-A protein,
Serum PAPP-A,
Prenatal screening marker,
PAPP-A marker"
,,,мМЕ/мл,0.32,2.42,жен. беременные 9 неделя,,,,,,,
,,,мМЕ/мл,0.46,3.73,жен. беременные 10 неделя,,,,,,,
,,,мМЕ/мл,0.79,4.76,жен. беременные 11 неделя,,,,,,,
,,,мМЕ/мл,1.03,6.01,жен. беременные 12 неделя,,,,,,,
,,,мМЕ/мл,1.47,8.54,жен. беременные 13 неделя,,,,,,,
Плацентарный лактоген,Плацентарный лактоген,Сыв-ка крови,мн/л,0.05,1.0,жен. беременные 0-19 неделя,,,ИФА,,,"Плацентарный лактоген,
Человеческий плацентарный лактоген,
Хорионический соматомаммотропин,
ПЛ,
hPL,
Плацентарный лактоген в сыворотке","Placental lactogen,
Human placental lactogen,
Chorionic somatomammotropin,
hPL,
PL,
Serum placental lactogen"
,,,мн/л,1.5,3.0,жен. беременные 20-21 неделя,,,,,,,
,,,мн/л,2.5,5.0,жен. беременные 22-25 неделя,,,,,,,
,,,мн/л,4.0,6.5,жен. беременные 26-29 неделя,,,,,,,
,,,мн/л,5.0,8.0,жен. беременные 30-33 неделя,,,,,,,
,,,мн/л,5.5,9.5,жен. беременные 34-37 неделя,,,,,,,
,,,мн/л,5.0,7.0,жен. беременные 38-42 неделя,,,,,,,
Антиспермальные антитела в сыворотке,Антиспермальные антитела в сыворотке,Сыв-ка крови,МЕ/мл,0,54.99,,,,ИФА,,,"Антиспермальные антитела (крови),
АСАТ в сыворотке,
Антитела к сперматозоидам (сыворотка),
Иммунологическое бесплодие (скрининг),
MAR-тест сыворотки","Antisperm antibodies (serum),
ASA (serum),
Sperm antibodies (serum),
Immunological infertility screening,
MAR test (serum)"
Антиспермальные антитела в сперме IgA,Антиспермальные антитела в сперме IgA,Сперма,%,0,50,,,,МАР-тест (смешанная антиголобулинвоая реакция),,,"АСАТ IgA в сперме,
Антиспермальные IgA-антитела (эякулят),
Иммуноглобулины класса A к сперматозоидам,
Аутоантитела IgA к антигенам спермы,
MAR-тест IgA (сперма),
Посткоитальный тест на IgA","Sperm IgA antibodies,
Anti-sperm IgA (semen),
Immunoglobulin A sperm antibodies,
IgA antisperm autoantibodies,
MAR test IgA (semen),
Postcoital test for IgA"
Антиспермальные антитела в сперме IgG,Антиспермальные антитела в сперме IgG,Сперма,%,0,50,,,,МАР-тест (смешанная антиголобулинвоая реакция),,,"АСАТ IgG в сперме,
Антиспермальные IgG-антитела (эякулят),
Иммуноглобулины класса G к сперматозоидам,
Аутоантитела IgG к антигенам спермы,
MAR-тест IgG (сперма),
Посткоитальный тест на IgG","Sperm IgG antibodies,
Anti-sperm IgG (semen),
Immunoglobulin G sperm antibodies,
IgG antisperm autoantibodies,
MAR test IgG (semen),
Postcoital test for IgG"
Кортизол,Кортизол,Сыв-ка крови,нмоль/л,83,580,1-16 лет,,,ИФА,Гормональные исследования,Гормоны надпочечниковой системы		,"Кортизол,
Гидрокортизон,
Кортизол в сыворотке,
Кортизол в крови,
17-гидроксикортикостерон,
Соединение F","Cortisol,
Hydrocortisone,
Compound F,
Serum cortisol,
Plasma cortisol"
,,,нмоль/л,138,635,17-90 лет,,,,,,,
Дегидроэпиандростерон-сульфат (ДГЭА-С),Дегидроэпиандростерон-сульфат (ДГЭА-С),Сыв-ка крови,мкмоль/л,0.2,8.6,1-30 дней муж.,,,ИХЛА,,,"ДГЭА-С,
ДГЭА-S,
Дегидроэпиандростерон сульфат,
Дегидроизоандростерон сульфат,
ДГЭА в сульфатной форме","DHEA-S,
Dehydroepiandrosterone sulfate,
Dehydroisoandrosterone sulfate"
,,,мкмоль/л,0.4,7.1,1-30 дней жен.,,,,,,,
,,,мкмоль/л,0.03,1.1,1 месяц - 6 лет муж.,,,,,,,
,,,мкмоль/л,0.1,1.5,1 месяц - 6 лет жен.,,,,,,,
,,,мкмоль/л,0.07,3.9,7-10 лет муж.,,,,,,,
,,,мкмоль/л,0.07,3.8,7-10 лет жен.,,,,,,,
,,,мкмоль/л,0.4,3.1,11-12 лет муж.,,,,,,,
,,,мкмоль/л,0.7,7.0,11-12 лет жен.,,,,,,,
,,,мкмоль/л,0.5,15.0,13-18 лет муж.,,,,,,,
,,,мкмоль/л,0.5,14.4,13-18 лет жен.,,,,,,,
,,,мкмоль/л,3.4,16.7,19-31 лет муж.,,,,,,,
,,,мкмоль/л,1.2,10.3,19-31 лет жен.,,,,,,,
,,,мкмоль/л,1.6,12.2,32-51 лет муж.,,,,,,,
,,,мкмоль/л,0.8,10.2,32-51 лет жен. ,,,,,,,
,,,мкмоль/л,0.8,7.0,32-51 лет жен.  постменопауза,,,,,,,
,,,мкмоль/л,0.5,11.1,52-61 лет муж.,,,,,,,
,,,мкмоль/л,0.8,7.0,52-61 лет жен.,,,,,,,
,,,мкмоль/л,0.5,11.1,52-61 лет жен. постменопауза,,,,,,,
,,,мкмоль/л,0.3,7.7,62-83 лет муж.,,,,,,,
,,,мкмоль/л,0.8,7.0,62-83 лет жен.,,,,,,,
,,,мкмоль/л,0.5,11.1,62-83 лет жен. постменопауза,,,,,,,
,,,мкмоль/л,3.1,12.5,жен. беременные 1 триместр,,,,,,,
,,,мкмоль/л,1.8,7.0,жен. беременные 2 триместр,,,,,,,
,,,мкмоль/л,0.9,3.5,жен. беременные 3 триместр,,,,,,,
Адренокортикотропный гормон (АКТГ),Адренокортикотропный гормон (АКТГ),Плазма ЭДТА,пмоль/л,1.6,6.9,,,,ЭХЛА,,,"АКТГ,
Кортикотропин,
Адренокортикотропный гормон,
АКТГ в плазме,
АКТГ в сыворотке","ACTH,
Adrenocorticotropic hormone,
Corticotropin,
Serum ACTH,
Plasma ACTH"
Андростендион,Андростендион,Сыв-ка крови,нмоль/л,2.1,10.8,муж.,,,ИХЛА,,,"Андростендион,
Андрост-4-ен-3,17-дион,
Дегидроэпиандростерон метаболит","Androstenedione,
Andro,
Androst-4-ene-3,17-dione"
,,,нмоль/л,1.0,11.5,жен.,,,,,,,
Андростендион глюкуронид,Андростендион глюкуронид,Сыв-ка крови,нг/мл,1.53,14.82,муж.,,,ИФА,,,"Андростендион-глюкуронид,
3α-диол-G,
3α-андростандиол глюкуронид","Androstenedione glucuronide,
3α-diol-G,
3α-androstanediol glucuronide"
